Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314356
1,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37249600
2,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297977984
3,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9496208
4,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,151899008
5,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795492
6,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249624
7,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",1.0,1.0,1.0,75951012
8,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,37249624
9,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496676
10,"(6000, 'spectrogram')","[(2, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9314460
11,"(6000, 'spectrogram')","[(2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,9496392
12,"(6000, 'spectrogram')","[(32, 3, 'relu')]",1.0,1.0,1.0,151899052
13,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",1.0,1.0,1.0,37249784
14,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9496252
15,"(6000, 'spectrogram')","[(2, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,9496252
16,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.9954545454545455,1.0,0.975,37249644
17,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,75951032
18,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,151899052
19,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496696
20,"(6000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,9314460
21,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.8136363636363636,0.0,0.0,151899192
22,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,37249784
23,"(6000, 'spectrogram')","[(8, 3, 'relu')]",1.0,1.0,1.0,37976812
24,"(6000, 'spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,37249644
