Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990416
1,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.8181818181818182,0.0,0.0,37249600
2,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795328
3,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18626284
4,"(6000, 'spectrogram')","[(4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18989868
5,"(6000, 'spectrogram')","[(2, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,9314580
6,"(6000, 'spectrogram')","[(8, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37249624
7,"(6000, 'spectrogram')","[(4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18989752
8,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,151899032
9,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,148990500
10,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",1.0,1.0,1.0,148990520
11,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795372
12,"(6000, 'spectrogram')","[(4, 3, 'sigmoid'), (8, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,37250816
13,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
14,"(6000, 'spectrogram')","[(32, 3, 'relu')]",1.0,1.0,1.0,151899052
15,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
16,"(6000, 'spectrogram')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,18989912
17,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
18,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
19,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795372
20,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899052
21,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990520
22,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899052
23,"(6000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37976952
24,"(6000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18626328
25,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795512
26,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.8181818181818182,0.0,0.0,75950892
27,"(6000, 'spectrogram')","[(64, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,297978168
28,"(6000, 'spectrogram')","[(32, 5, 'sigmoid'), (16, 3, 'relu')]",0.9954545454545455,0.975609756097561,1.0,73067136
29,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.8181818181818182,0.0,0.0,148990380
30,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795512
31,"(6000, 'spectrogram')","[(32, 5, 'relu')]",1.0,1.0,1.0,148990380
32,"(6000, 'spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,37249784
33,"(6000, 'spectrogram')","[(16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,75950892
34,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795372
35,"(6000, 'spectrogram')","[(64, 3, 'relu'), (64, 3, 'sigmoid')]",1.0,1.0,1.0,298122336
36,"(6000, 'spectrogram')","[(16, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,75951032
37,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",1.0,1.0,1.0,73088896
38,"(6000, 'spectrogram')","[(16, 5, 'relu')]",0.8181818181818182,0.0,0.0,74496556
39,"(6000, 'spectrogram')","[(32, 3, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,74515328
40,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795372
41,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,148990520
42,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18638224
43,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,71709312
44,"(6000, 'spectrogram')","[(64, 5, 'relu'), (16, 3, 'relu')]",1.0,1.0,1.0,73088744
45,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
46,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,303795512
47,"(6000, 'spectrogram')","[(16, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,74496696
48,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,143222220
49,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18638224
50,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.8181818181818182,0.0,0.0,303795372
51,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18279760
52,"(6000, 'spectrogram')","[(64, 5, 'relu'), (16, 3, 'relu')]",1.0,1.0,1.0,73088744
53,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,303795512
54,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,18638224
55,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",1.0,1.0,1.0,303795512
56,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,297978028
57,"(6000, 'spectrogram')","[(64, 3, 'relu'), (2, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,9322088
58,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",0.9681818181818181,1.0,0.825,18279608
59,"(6000, 'spectrogram')","[(64, 5, 'sigmoid'), (16, 3, 'relu')]",0.8181818181818182,0.0,0.0,73088896
60,"(6000, 'spectrogram')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,303795372
61,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid')]",1.0,1.0,1.0,18638224
62,"(6000, 'spectrogram')","[(64, 3, 'relu')]",1.0,1.0,1.0,303795372
63,"(6000, 'spectrogram')","[(32, 5, 'relu')]",0.990909090909091,1.0,0.95,148990380
64,"(6000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,303795512
65,"(6000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,297978028
66,"(6000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,151899192
67,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",0.9636363636363636,0.9705882352941176,0.825,18279608
68,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,8966224
69,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18279608
70,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899052
71,"(6000, 'spectrogram')","[(64, 3, 'sigmoid'), (4, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,18638336
72,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,148990520
73,"(6000, 'spectrogram')","[(64, 5, 'relu'), (4, 3, 'relu'), (64, 5, 'relu')]",0.8181818181818182,0.0,0.0,280672724
74,"(6000, 'spectrogram')","[(64, 3, 'relu'), (4, 3, 'sigmoid'), (2, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,8966240
75,"(6000, 'spectrogram')","[(32, 3, 'relu')]",0.8181818181818182,0.0,0.0,151899060
76,"(6000, 'spectrogram')","[(32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,148990532
