Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(48000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,2000000000
1,"(48000, 'mel-spectrogram')","[(32, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,90865536
2,"(1500, 'mfcc')","[(64, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,2338944
3,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.9545454545454546,0.9411764705882353,0.8,77728
4,"(3000, 'mel-spectrogram')","[(128, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,21417740
5,"(48000, 'mel-spectrogram')","[(128, 5, 'relu')]",0.8181818181818182,0.0,0.0,363454104
6,"(48000, 'spectrogram')","[(32, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,1225639972
7,"(24000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,152880292
8,"(3000, 'mfcc')","[(16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,1353252
9,"(750, 'spectrogram')","[(4, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,2130852
10,"(24000, 'spectrogram')","[(64, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,1223022392
11,"(375, 'mel-spectrogram')","[(4, 3, 'sigmoid')]",0.8272727272727273,0.5142857142857142,0.9,77912
12,"(3000, 'mel-spectrogram')","[(128, 5, 'sigmoid'), (32, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,5184560
13,"(12000, 'spectrogram')","[(8, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,76278072
14,"(750, 'spectrogram')","[(8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,4258872
15,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.9818181818181818,1.0,0.9,152812
16,"(3000, 'mel-spectrogram')","[(128, 5, 'sigmoid'), (8, 3, 'sigmoid')]",1.0,1.0,1.0,1308752
17,"(1500, 'spectrogram')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,4586072
18,"(375, 'mel-spectrogram')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,40392
19,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.9,0.6551724137931034,0.95,77772
20,"(375, 'mel-spectrogram')","[(2, 3, 'relu')]",0.9181818181818182,0.7291666666666666,0.875,40252
21,"(1500, 'spectrogram')","[(4, 3, 'sigmoid')]",1.0,1.0,1.0,4586072
22,"(375, 'mel-spectrogram')","[(8, 3, 'relu'), (4, 5, 'sigmoid')]",0.8590909090909091,0.576271186440678,0.85,30608
23,"(3000, 'mel-spectrogram')","[(128, 3, 'sigmoid'), (8, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,1383120
24,"(3000, 'mel-spectrogram')","[(128, 5, 'relu')]",0.8181818181818182,0.0,0.0,21417644
25,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.9681818181818181,1.0,0.825,152812
26,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.9181818181818182,0.7391304347826086,0.85,77772
27,"(375, 'mel-spectrogram')","[(2, 3, 'sigmoid')]",0.8772727272727273,0.8095238095238095,0.425,40392
28,"(375, 'mfcc')","[(8, 3, 'relu'), (4, 5, 'sigmoid')]",0.9409090909090909,0.8292682926829268,0.85,17488
29,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,152812
30,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.990909090909091,0.975,0.975,152812
31,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.9090909090909091,0.717391304347826,0.825,77772
32,"(750, 'mel-spectrogram')","[(8, 3, 'relu')]",0.9954545454545455,0.975609756097561,1.0,327532
33,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.8227272727272728,1.0,0.025,152812
34,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.8181818181818182,0.0,0.0,77772
35,"(375, 'spectrogram')","[(2, 3, 'relu')]",0.8181818181818182,0.0,0.0,493852
36,"(375, 'mel-spectrogram')","[(16, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,302892
38,"(375, 'mel-spectrogram')","[(8, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,152812
39,"(375, 'mel-spectrogram')","[(2, 3, 'relu')]",0.9636363636363636,0.8809523809523809,0.925,40252
40,"(375, 'mel-spectrogram')","[(4, 3, 'relu')]",0.9,0.6730769230769231,0.875,77772
42,"(375, 'mel-spectrogram')","[(16, 3, 'relu')]",0.8181818181818182,0.0,0.0,302892
43,"(375, 'mel-spectrogram')","[(8, 3, 'relu'), (32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,218880
44,"(375, 'mfcc')","[(2, 3, 'relu'), (4, 5, 'sigmoid')]",0.9181818181818182,0.7619047619047619,0.8,14848
45,"(375, 'mel-spectrogram')","[(8, 3, 'relu'), (4, 5, 'sigmoid')]",0.9090909090909091,0.717391304347826,0.825,30608
46,"(375, 'mfcc')","[(8, 3, 'relu')]",0.9090909090909091,0.6785714285714286,0.95,74092
47,"(375, 'mel-spectrogram')","[(2, 3, 'sigmoid')]",0.8818181818181818,0.75,0.525,40392
48,"(375, 'mel-spectrogram')","[(8, 3, 'relu'), (32, 5, 'relu')]",0.9863636363636363,1.0,0.925,218728
49,"(375, 'mel-spectrogram')","[(2, 3, 'relu')]",0.9409090909090909,1.0,0.675,40252
50,"(375, 'mfcc')","[(8, 3, 'relu')]",0.9454545454545454,0.9375,0.75,74092
