Model Number,Input Configuration,Model Configuration,Accuracy,Precision,Recall,Model Size
0,"(750, 'spectrogram')","[(8, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,3597380
1,"(3000, 'spectrogram')","[(4, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,8988044
2,"(24000, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,11312460
3,"(3000, 'mfcc')","[(32, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,2470156
4,"(1500, 'mfcc')","[(2, 3, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,85788
5,"(6000, 'mel-spectrogram')","[(8, 5, 'relu')]",1.0,1.0,1.0,2776024
6,"(6000, 'mfcc')","[(4, 5, 'relu')]",0.8181818181818182,0.0,0.0,641528
7,"(3000, 'spectrogram')","[(64, 5, 'relu')]",0.8181818181818182,0.0,0.0,143766168
8,"(12000, 'spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,18871000
9,"(12000, 'mfcc')","[(64, 3, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,22075032
10,"(750, 'spectrogram')","[(16, 5, 'relu')]",0.9954545454545455,1.0,0.975,7192236
11,"(24000, 'mel-spectrogram')","[(8, 5, 'sigmoid'), (32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,42515824
12,"(1500, 'mfcc')","[(2, 3, 'sigmoid'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,587200
13,"(6000, 'mfcc')","[(2, 5, 'relu')]",1.0,1.0,1.0,322140
14,"(6000, 'spectrogram')","[(4, 5, 'relu')]",0.18181818181818182,0.18181818181818182,1.0,18626188
15,"(750, 'mel-spectrogram')","[(8, 5, 'relu')]",0.9954545454545455,1.0,0.975,271084
16,"(1500, 'mfcc')","[(2, 3, 'relu')]",1.0,1.0,1.0,85692
17,"(12000, 'spectrogram')","[(4, 5, 'relu')]",0.8181818181818182,0.0,0.0,37739308
18,"(24000, 'mel-spectrogram')","[(4, 5, 'sigmoid'), (32, 5, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,42502608
19,"(12000, 'mel-spectrogram')","[(8, 5, 'sigmoid')]",0.8181818181818182,0.0,0.0,5621624
20,"(750, 'mfcc')","[(2, 3, 'sigmoid')]",0.990909090909091,1.0,0.95,41432
21,"(12000, 'spectrogram')","[(2, 3, 'relu')]",1.0,1.0,1.0,19071532
22,"(12000, 'mfcc')","[(2, 5, 'relu')]",1.0,1.0,1.0,649740
23,"(750, 'mfcc')","[(2, 3, 'relu')]",0.9954545454545455,1.0,0.975,41292
24,"(1500, 'mel-spectrogram')","[(2, 5, 'sigmoid')]",1.0,1.0,1.0,161160
25,"(3000, 'mfcc')","[(2, 3, 'sigmoid')]",0.9954545454545455,1.0,0.975,171672
26,"(3000, 'mfcc')","[(2, 3, 'relu')]",0.9954545454545455,1.0,0.975,171532
27,"(750, 'mfcc')","[(2, 3, 'sigmoid'), (64, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,994048
28,"(12000, 'mfcc')","[(2, 3, 'relu')]",1.0,1.0,1.0,692492
29,"(12000, 'mfcc')","[(2, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,649740
30,"(1500, 'mfcc')","[(4, 3, 'relu')]",1.0,1.0,1.0,168652
31,"(1500, 'mfcc')","[(2, 3, 'sigmoid')]",1.0,1.0,1.0,85832
32,"(750, 'mfcc')","[(2, 5, 'relu')]",0.990909090909091,0.9523809523809523,1.0,33740
33,"(3000, 'mfcc')","[(2, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,171672
34,"(750, 'mfcc')","[(2, 3, 'relu')]",0.990909090909091,0.9523809523809523,1.0,41292
35,"(750, 'mfcc')","[(2, 5, 'sigmoid')]",0.990909090909091,0.975,0.975,33880
36,"(750, 'mfcc')","[(2, 3, 'relu'), (32, 3, 'relu')]",0.8181818181818182,0.0,0.0,498552
37,"(1500, 'mfcc')","[(4, 3, 'sigmoid')]",0.18181818181818182,0.18181818181818182,1.0,168792
38,"(1500, 'mfcc')","[(2, 5, 'relu')]",1.0,1.0,1.0,75740
39,"(750, 'mfcc')","[(2, 5, 'relu')]",0.990909090909091,0.975,0.975,33740
40,"(750, 'mfcc')","[(2, 3, 'sigmoid')]",0.990909090909091,0.975,0.975,41432
41,"(750, 'mfcc')","[(4, 5, 'relu')]",0.9863636363636363,0.9302325581395349,1.0,64748
42,"(750, 'mel-spectrogram')","[(2, 5, 'sigmoid')]",0.9863636363636363,1.0,0.925,69960
43,"(1500, 'mfcc')","[(8, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,334712
44,"(750, 'mfcc')","[(2, 5, 'relu')]",0.9772727272727273,0.9487179487179487,0.925,33740
45,"(750, 'mfcc')","[(2, 5, 'relu'), (16, 3, 'sigmoid')]",0.8181818181818182,0.0,0.0,194896
46,"(750, 'mfcc')","[(2, 5, 'sigmoid'), (16, 3, 'relu')]",1.0,1.0,1.0,194896
47,"(750, 'spectrogram')","[(2, 5, 'relu')]",0.990909090909091,1.0,0.95,901420
48,"(750, 'mfcc')","[(4, 5, 'relu'), (2, 5, 'sigmoid')]",0.9863636363636363,0.9302325581395349,1.0,21976
49,"(750, 'mfcc')","[(2, 5, 'sigmoid')]",0.9863636363636363,0.9512195121951219,0.975,33880
50,"(750, 'mfcc')","[(2, 5, 'sigmoid')]",0.9954545454545455,0.975609756097561,1.0,33880
51,"(750, 'mfcc')","[(2, 5, 'relu'), (16, 5, 'relu')]",0.9954545454545455,0.975609756097561,1.0,145592
52,"(750, 'mel-spectrogram')","[(2, 5, 'relu')]",1.0,1.0,1.0,69820
53,"(750, 'mel-spectrogram')","[(2, 5, 'sigmoid'), (16, 3, 'relu')]",0.9954545454545455,1.0,0.975,431056
